estado,cidade,n_pedidos
MT,nobres,1
RN,jardim de piranhas,1
RS,tavares,1
MS,paraiso das aguas,1
GO,campinacu,1
SP,aparecida de monte alto,1
PB,aroeiras,1
SP,queluz,2
RN,poco de pedra,1
RS,mampituba,1
PI,pedro ii,2
MG,sao francisco do gloria,1
MG,itamogi,2
BA,jaua,1
GO,britania,1
PR,vila reis,1
MA,jatoba,1
TO,praia norte,1
SP,emilianopolis,2
PR,santana do itarare,1
MA,arari,2
SP,areiopolis,3
MG,comercinho,1
TO,lajeado,1
RJ,werneck,2
RN,tibau do sul,1
PB,brejo dos santos,1
RN,sao paulo do potengi,2
RS,esmeralda,1
MG,jequitiba,2
SP,mendonca,4
RN,sao fernando,1
PR,mariluz,2
SP,itapirapua paulista,2
SP,irape,2
RS,tapera,1
RN,lagoa salgada,1
MT,porto dos gauchos,1
MG,vitorinos,1
CE,ipaporanga,2
MG,quatituba,1
PR,tupassi,1
MT,novo sao joaquim,3
PE,bodoco,2
PR,douradina,1
PR,luiziana,2
PE,sao jose do belmonte,2
SP,euclides da cunha paulista,2
RS,presidente lucena,1
PR,ibema,1
MA,goncalves dias,1
RS,capela de santana,2
SP,galia,1
ES,itaoca,2
AC,brasileia,1
MG,lagoa dos patos,1
SP,suzanapolis,1
SP,timburi,5
AL,sao jose da laje,2
SP,tuiuti,1
SP,oscar bressane,3
GO,morro agudo de goias,1
GO,hidrolandia,1
MG,senador firmino,2
SC,jaguaruna,2
SC,anitapolis,2
BA,antonio goncalves,1
MG,marilac,1
MG,engenheiro navarro,1
SP,novais,1
PB,alagoinha,2
MA,governador eugenio barros,1
MA,sao joao batista,1
SP,guzolandia,1
RR,bonfim,1
MG,dona euzebia,2
GO,pontalina,2
BA,cravolandia,1
GO,goiandira,1
MA,brejo,1
SP,nova guataporanga,1
PB,nova floresta,1
RS,caseiros,1
SP,bento de abreu,2
SP,pontalinda,2
BA,sao felix,1
MG,serrania,2
PB,lucena,1
SE,campo do brito,1
MA,senador la rocque,1
PB,pitanga de estrada,1
MG,central de santa helena,1
PI,amarante,1
MA,cidelandia,1
GO,damianopolis,2
MG,desembargador otoni,1
PR,santo antonio do caiua,1
PB,manaira,1
CE,guassusse,1
BA,cocos,1
TO,buriti do tocantins,1
BA,biritinga,1
RS,progresso,1
MG,cuite velho,1
BA,salobro,1
BA,coracao de maria,1
MG,silveira carvalho,1
BA,itaguacu da bahia,1
PR,floresta,5
MA,loreto,1
MG,senador amaral,2
MG,frei gaspar,1
AL,traipu,1
BA,apora,1
AP,vitoria do jari,1
PR,doutor camargo,1
BA,filadelfia,1
MG,descoberto,3
RN,felipe guerra,1
MG,planura,2
RS,barao do triunfo,1
MA,satubinha,2
MG,bras pires,2
RS,serio,1
SC,mondai,2
SP,pardinho,1
RJ,sacra familia do tingua,1
PR,alto piquiri,1
TO,duere,1
SP,guarapua,1
TO,carmolandia,1
PR,lindoeste,2
TO,nova olinda,1
GO,jesupolis,2
SE,malhador,1
MG,crucilandia,1
MG,sao bras do suacui,2
BA,ipupiara,1
MA,pocao de pedras,1
AL,paulo jacinto,2
RO,alto paraiso,1
RS,pareci novo,1
MG,barra longa,1
PR,santo inacio,1
RS,sao jose do inhacora,1
BA,buritirama,2
PR,cruz machado,3
RS,picada cafe,1
MG,camacho,1
GO,nova america,1
SC,vargeao,1
MA,capinzal do norte,2
BA,nova redencao,1
MA,alto alegre do maranhao,1
MS,eldorado,1
RS,boa vista do cadeado,1
RO,castanheiras,1
MG,salto da divisa,2
MG,inimutaba,2
MT,santo antonio do leverger,1
SP,venda branca,1
TO,araguacu,1
MA,cajapio,1
MG,tocos do moji,1
SE,japaratuba,1
RS,tres forquilhas,1
SP,natividade da serra,1
MT,santo antonio do leste,1
MT,sao jose do rio claro,2
RS,novo cabrais,1
PR,itambe,1
MA,matoes do norte,2
SP,pinheiros,1
GO,mairipotaba,1
MG,sao joao da ponte,1
MA,guimaraes,1
MS,caracol,1
SC,lindoia do sul,1
PB,curral de cima,1
ES,irupi,2
SP,piquerobi,1
MA,boa vista do gurupi,2
RS,vicente dutra,1
MG,pedra menina,1
MG,glaura,1
RN,sitio novo,1
RS,gramado xavier,1
MG,itutinga,1
SE,graccho cardoso,1
SC,picarras,1
RJ,sao sebastiao de campos,1
CE,beberibe,3
BA,satiro dias,1
PR,corumbatai do sul,1
RS,santa clara do sul,2
MG,joaima,1
GO,turvania,2
PR,paranapoema,1
BA,jacuipe,1
MG,estevao de araujo,1
PI,alvorada do gurgueia,1
MA,humberto de campos,1
BA,ipecaeta,1
MG,serra bonita,1
SC,rio das antas,2
PR,boa esperanca do iguacu,1
SC,romelandia,1
MG,entre folhas,1
PA,ourem,1
SP,nova independencia,1
PR,inaja,2
CE,tururu,1
SE,telha,1
PR,boa esperanca,1
SP,iaras,1
RO,mutum parana,1
RS,sao nicolau,1
RN,santo antonio,1
RS,liberato salzano,1
AL,agua branca,1
SP,lutecia,1
PR,sede alvorada,1
CE,itaicaba,1
PR,jaboti,2
TO,sandolandia,1
RN,sao jose do serido,1
MG,santana do jacare,4
RS,sao francisco de assis,2
MG,ribeirao vermelho,2
MS,porto murtinho,1
MG,piracema,1
RS,vila nova do sul,1
MG,ingai,1
MG,baguari,1
BA,elisio medrado,2
GO,santo antonio de goias,1
PR,doutor ulysses,1
PB,pirpirituba,1
ES,jacigua,2
RN,agua nova,1
PR,vitoria,1
RN,angicos,1
PB,serra branca,1
PR,tamboara,1
PA,senador jose porfirio,1
RJ,santa maria,1
TO,pindorama do tocantins,2
RJ,bemposta,1
PB,sao francisco,1
GO,jardim abc de goias,1
MG,corrego danta,1
MG,serranopolis de minas,1
MG,sardoa,1
MS,angelica,1
ES,paraju,1
BA,saubara,1
MT,denise,2
SP,palmeira d oeste,1
MT,nova ubirata,1
TO,silvanopolis,1
SP,trabiju,1
GO,cezarina,1
SE,general maynard,1
MS,corguinho,2
GO,flores de goias,1
MG,pocoes de paineiras,1
SC,abdon batista,1
SP,santa clara d'oeste,1
MG,ilicinea,1
BA,arataca,1
SP,cassia dos coqueiros,1
PR,santa monica,2
PB,pilar,1
MA,peri mirim,1
SP,ubirajara,1
BA,humildes,1
RO,alvorada d'oeste,1
AL,porto de pedras,1
MG,guaraciaba,2
BA,brejoes,1
CE,chorozinho,1
GO,aragoiania,1
PB,pitimbu,1
PR,laranjal,1
BA,banzae,1
RN,barauna,1
RN,bodo,1
BA,ibirapua,1
GO,cabeceiras,1
BA,planalto,1
PE,jurema,1
TO,ananas,1
MG,sao roque de minas,2
MG,santana do capivari,1
PR,rosario do ivai,1
RS,machadinho,1
MG,carmesia,1
SP,turmalina,1
SC,lajeado grande,1
MG,sao domingos,1
SP,meridiano,1
PI,pio ix,1
BA,urandi,2
RS,dezesseis de novembro,1
PE,agua preta,1
BA,pocoes,2
MS,vicentina,1
SC,rio rufino,1
PE,agrestina,1
PE,terra nova,1
PA,pau d'arco,1
MG,piau,2
GO,ouro verde de goias,1
SC,uniao do oeste,1
PR,barra do jacare,1
MS,bataipora,1
AL,murici,1
MG,coronel pacheco,1
PI,uniao,1
MG,nova resende,1
MG,capitao eneas,1
PR,nova santa barbara,1
GO,sao luiz do norte,1
RS,lagoao,1
AC,porto acre,1
BA,caldas do jorro,1
MG,umburatiba,1
BA,santana do sobrado,1
MG,luz,2
MG,desterro de entre rios,1
SP,santo expedito,1
MA,sao vicente ferrer,1
RO,mirante da serra,1
RJ,bacaxa,1
MG,berilo,1
MG,paineiras,1
PE,cha de alegria,1
PR,pato bragado,2
TO,combinado,1
PR,guamiranga,1
MA,passagem franca,1
PB,varzea,1
BA,canapolis,1
SC,celso ramos,2
SE,itabi,1
RN,antonio martins,1
MG,senhora dos remedios,1
PR,santana,1
ES,pacotuba,1
BA,candeal,1
RS,general camara,1
PR,sao pedro do iguacu,1
MG,capitao andrade,1
RS,paraiso do sul,1
MG,simao pereira,1
MG,confins,1
PB,passagem,1
MG,juvenilia,2
PR,sabaudia,1
PR,jussara,1
PR,alto alegre do iguacu,2
BA,igapora,1
MG,sao benedito,1
RS,sinimbu,2
SE,boquim,1
BA,cristopolis,2
PB,sao bentinho,1
SC,paial,1
PA,curralinho,1
PI,sebastiao leal,1
PR,novo itacolomi,1
RN,acari,1
PR,paula freitas,1
BA,barro preto,1
TO,divinopolis do tocantins,1
RS,roca sales,2
PB,barra de santa rosa,2
RS,sao jorge,1
PR,ouro verde do oeste,1
MG,bertopolis,1
SC,sao bernardino,1
PB,belem,1
PR,mato rico,1
SE,brejo grande,1
RS,cerrito,1
PR,alto paraiso,1
PI,demerval lobao,1
GO,nova roma,1
SE,tobias barreto,2
MG,santana do deserto,1
PE,paudalho,2
MG,ladainha,2
RS,sao joao da urtiga,1
PR,sao jorge do oeste,1
BA,olindina,3
BA,caem,1
BA,itaju do colonia,1
SC,sao bonifacio,1
SC,atalanta,1
CE,jucas,1
RS,aratiba,1
PR,doce grande,1
TO,arraias,2
SP,lavrinhas,1
RS,pinhal da serra,1
RJ,purilandia,1
PI,joaquim pires,1
PI,sao jose do divino,1
PB,brejo do cruz,1
MG,santa rita do ibitipoca,2
MG,monsenhor paulo,1
MG,sao geraldo da piedade,1
RN,severiano melo,1
BA,vereda,2
PB,imaculada,3
AL,dois riachos,1
PE,xexeu,1
MA,sambaiba,1
SP,itaoca,1
MG,campo florido,1
SP,sao sebastiao da serra,1
PR,nova esperanca do sudoeste,1
MS,inocencia,1
CE,uruburetama,1
SE,macambira,1
PB,remigio,1
SC,sao joao do sul,2
ES,angelo frechiani,1
SP,pontes gestal,1
PB,juru,1
TO,fatima,1
BA,boquira,1
MG,senador cortes,1
PR,quatro pontes,1
GO,mimoso de goias,1
CE,aiuaba,1
GO,jandaia,1
RS,hulha negra,1
MG,laranjal,1
SP,barao ataliba nogueira,1
BA,conceicao do almeida,1
PB,livramento,1
CE,cedro,1
MG,major porto,1
MG,ibertioga,1
PE,cumaru,2
CE,capistrano,1
RN,coronel joao pessoa,1
BA,itanhem,1
MG,cedro do abaete,1
PR,pranchita,1
RS,senador salgado filho,1
ES,divino de sao lourenco,1
SC,caxambu do sul,1
PR,diamante d'oeste,1
MG,estiva,1
SP,bandeirantes d'oeste,1
RS,barao,1
AL,atalaia,1
PE,sao domingos,1
BA,pirai do norte,1
PB,triunfo,1
MS,pedro gomes,1
RS,muliterno,1
MG,lamim,1
SC,aguas frias,1
MG,estrela do sul,1
MG,bugre,1
RS,maquine,1
BA,itaparica,1
MG,rio espera,1
BA,jandaira,1
RS,cotipora,1
PR,salto do itarare,1
MA,centro novo do maranhao,1
RS,vanini,1
RN,francisco dantas,1
PA,itupiranga,1
SC,bom retiro,1
BA,aribice,1
SP,cipo-guacu,1
PA,tracuateua,1
PR,campo magro,1
RJ,tres irmaos,1
SC,tunapolis,1
MS,paranhos,1
SP,macaubal,1
RS,salvador do sul,1
PB,solanea,1
MG,mesquita,1
AL,sao sebastiao,1
MG,igaratinga,1
MT,feliz natal,1
RS,faxinalzinho,1
SP,anhembi,1
RS,nova roma do sul,1
MS,brasilandia,1
RN,vicosa,1
MA,maranhaozinho,1
MG,vila pereira,1
SC,presidente castello branco,1
MG,arantina,1
MG,cachoeira dourada,1
MG,macuco de minas,1
MG,santo antonio do rio abaixo,1
PI,alegrete do piaui,1
MT,uniao do sul,1
RJ,sao sebastiao do paraiba,1
RS,chiapetta,1
BA,mundo novo,1
PR,guapirama,1
RS,sao domingos do sul,1
MA,magalhaes de almeida,1
RN,sao rafael,1
RS,andre da rocha,1
MG,cascalho rico,1
MA,bela vista do maranhao,1
PI,santa cruz do piaui,1
PI,matias olimpio,1
BA,cordeiros,1
SC,ouro,1
ES,atilio vivacqua,1
RN,riacho da cruz,1
PR,ourizona,1
CE,fortim,1
PE,quipapa,1
RO,cujubim,1
AL,taquarana,1
RS,sao pedro do butia,1
MA,pirapemas,1
SP,rubineia,1
PI,nova santa rita,1
AL,coite do noia,1
SC,angelina,1
RN,almino afonso,1
CE,palhano,1
MG,brejo bonito,1
MA,formosa da serra negra,1
MG,divinesia,1
RS,monte belo do sul,1
RS,ivora,1
SP,monte castelo,1
PR,adhemar de barros,1
MG,desterro do melo,1
RS,eugenio de castro,1
RS,capivari do sul,1
MS,anhandui,1
